UnitID,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
429085,,,,,,,,,,,,,,,,,,
486169,,,,,,,,,,,,,,,,,,
449889,,,,,,,,,,,,,,,,,,
210809,,,,,,,,,,,,,,,,,,
179229,,,,,,,,,,,,,,,,,,
422835,,,,,,,,,,,,,,,,,,
483009,,,,,,,,,,,,,,,,,,
443599,,,,,,,,,,,,,,,,,,
485698,46,58,40,,,,,,,,,,,,,,,
109086,,,,,,,,,,,,,,,,,,
108870,,,,,,,,,,,,,,,,,,
493503,,,,,,,,,,,,,,,,,,
153463,,,,,,,,,,,,,,,,,,
172927,,,,,,,,,,,,,,,,,,
487852,,,,,,,,,,,,,,,,,,
441636,,,,,,,,,,,,,,,,,,
447883,,,,,,,,,,,,,,,,,,
493682,,,,,,,,,,,,,,,,,,
404037,,,,,,,,,,,,,,,,,,
447795,,,,,,,,,,,,,,,,,,
455202,,,,,,,,,,,,,,,,,,
497329,,,,,,,,,,,,,,,,,,
184092,,,,,,,,,,,,,,,,,,
490869,,,,,,,,,,,,,,,,,,
482963,,,,,,,,,,,,,,,,,,
129482,,,,,,,,,,,,,,,,,,
445027,8,11,15,12,20,0,28,8,18,,,20,,,,,,
438586,25,38,24,20,14,20,31,23,21,25,16,15,18,18,8,,51,69
445133,33,58,26,33,33,29,38,23,25,24,14,24,27,,,,,
164447,42,44,44,47,41,44,38,38,45,39,36,37,43,33,50,53,43,37
142957,50,0,50,,,,,,,,,,,,,,,
116846,50,33,100,40,29,44,68,55,81,62,44,90,28,70,75,63,70,0
492643,,,,,,,,,,,,,,,,,,
475714,,,,,,,,,,,,,,,,,,
494977,,,,,,,,,,,,,,,,,,
461263,,,,,,,,,,,,,,,,,,
188854,67,64,64,59,57,43,55,66,,,100,,,0,,,,
232797,,,,,,0,,,,100,,100,70,100,50,75,100,100
157021,,,,,,,,,0,0,50,,,,,,,
449339,41,38,32,35,34,29,31,40,39,21,,,,,,,,
109208,,,,,,,,,,,,,,,,,,
460738,,0,,0,,100,,,,,,,,,,,,
461573,,,,,,,,,,,,,,,,,,
131159,79,79,79,80,79,81,81,82,80,77,77,79,77,76,73,71,71,73
433004,0,38,33,33,100,,,,83,,,0,0,0,,,,
447263,100,,,,,,,,,,,,,,,,,
486415,,,,,,,,,,,,,,,,,,
164465,92,95,95,93,95,93,95,94,96,95,96,95,94,95,96,96,96,96
100690,67,25,50,40,11,29,0,22,67,0,0,23,0,20,20,,,
492032,,,,,,,,,,,,,,,,,,
483595,,,,,,,,,,,,,,,,,,
151865,,,,,,,,,,,,,,,,,,
150048,,,,,,,,,,,,,,,,,,
150066,63,64,60,60,57,58,54,63,57,57,63,57,61,54,53,53,59,54
217633,64,57,66,59,57,53,49,52,41,48,48,44,54,45,42,40,40,40
138761,,,,,,,,,,,,,,,,,,
168740,73,61,59,58,55,62,54,59,60,59,63,51,58,57,54,57,51,38
457299,50,86,67,100,,,,,,,,,,,,,,
457314,,,,,,,,,,,,,,,,,,
222822,,,,,,,,,,,,,,,,,,
222831,45,43,40,34,37,36,37,30,30,32,30,31,31,31,33,33,36,35
496487,,,,,,,,,,,,,,,,,,
490425,,,,,,,,,,,,,,,,,,
164492,48,50,46,46,41,39,34,40,47,47,49,46,55,64,56,62,63,57
161767,,,,,,,,,,,,,,,,,,
475705,,,,,,,,,,,,,,,,,,
172954,,,,,,,,,,,,,,,,,,
172963,,,,,,,,,,,,,,,,,,
491978,,,,,,,,,,,,,,,,,,
491969,,,,,,,,,,,,,,,,,,
434292,,,,,,,,,,,,,,,,,,
109350,,,,,,,,,,,,,,,,,,
496636,51,,,,,,,,,,,,,,,,,
483018,32,66,78,66,56,,,,,,,,,,,,,
245892,,,,,,,,,,,,,,,,,,
485908,,,,,,,,,,,,,,,,,,
245838,,,,,,,,,,,,,,,,,,
245865,,,,,,,,,,,,,,,,,,
442392,,,,,,,,,,,,,,,,,,
245847,,,,,,,,,,,,,,,,,,
245883,,,0,0,0,0,20,3,,,,,,,,,,
440138,,,,,,,,,,,,,,,,,,
429094,,,,,,,,,,,,,,,,,,
485342,,,,,,,,,,,,,,,,,,
490434,,,,,,,,,,,,,,,,,,
494986,,,,,,,,,,,,,,,,,,
188890,,,,,,,,,,,,,,,,,,
201034,,,,,,,,,,,,,,,,,,
237127,,,,,,,,,,,,,,,,,,
237136,71,57,53,40,51,40,38,60,64,47,33,36,49,49,42,35,38,44
449922,,,,,,,,,,,,,,,,,,
432348,,,,,,,,,,,,,,,,,,
197869,73,73,73,72,73,72,71,70,69,66,65,66,64,64,63,62,64,60
417716,,,,,,,,,,,,,,,,,,
168786,60,64,60,60,59,53,56,52,59,53,52,61,56,49,57,52,49,51
176600,,,,,,,,,,,,,,,,,,
126289,,,,,,,,,,,,,,,,,,
211088,62,65,66,71,66,61,58,60,61,65,62,62,61,68,60,59,58,66
487791,,,,,,,,,,,,,,,,,,
103954,,,,,,,,,,,,,,,,,,
420802,,,,,,,,,,,,,,,,,,
105899,36,44,50,45,47,36,38,61,47,51,31,47,43,43,38,31,53,36
494162,,,,,,,,,,,,,,,,,,
495439,,,,,,,,,,,,,,,,,,
487375,,,,,,,,,,,,,,,,,,
495457,,,,,,,,,,,,,,,,,,
497268,,,,,,,,,,,,,,,,,,
495420,,,,,,,,,,,,,,,,,,
494171,,,,,,,,,,,,,,,,,,
421708,,,,,,,,,,,,,,,,,,
495448,,,,,,,,,,,,,,,,,,
497277,,,,,,,,,,,,,,,,,,
482990,,,,,,,,,,,,,,,,,,
450951,,,,,,,,,,,,,,,,,,
446039,,,,,,,,,,,,,,,,,,
484163,,,,,,,,,,,,,,,,,,
104151,66,66,63,69,63,67,66,63,59,57,57,59,56,56,56,56,55,55
483124,26,24,4,48,14,20,,,,,,,,,,,,
104160,,,,,,,,,,,,,,,,,,
106306,0,0,5,7,2,1,5,8,9,5,4,2,3,26,100,100,100,69
106324,,,,,,,,,,,,,,,,,,
106315,,,,,,,,,,,,,,,,,,
488527,,,,,,,,,,,,,,,,,,
107327,,,,,,,,,,,,,,,,,,
106458,52,51,50,47,46,44,39,37,36,39,38,33,37,39,37,40,39,36
107318,,,,,,,,,,,,,,,,,,
448336,,,,,,,,,,,,,,,,,,
107521,,,,,,,,,,,,,,,,,,
106449,,,,,,,,,,,,,,,,,,
420538,,,,,,,,,,,,,,,,,,
440402,,,,,,,,,,,,,,,,,,
106467,43,41,40,42,40,37,46,45,41,41,43,36,40,38,38,38,34,37
106351,,,,,,,,,,,,,,,,,,
491075,,,,,,,,,,,,,,,,,,
222877,23,21,16,19,22,20,48,30,33,42,41,26,100,100,5,30,25,24
222886,,,,,,,,,,,,,,,,,,
219587,,,,,,,,,,,,,,,,,,
188915,,,,,,,,,,,,,,,,,,
482194,,,,,,,,,,,,,,,,,,
201061,38,48,48,63,56,52,54,62,53,53,44,37,24,55,48,48,51,83
109651,76,71,69,72,68,73,68,67,64,70,54,71,68,89,94,80,0,73
489830,,,,,,,,,,,,,,,,,,
106360,,,,,,,,,,,,,,,,,,
106494,,,,,,,,,,,,,,,,,,
445540,,,,,,,,,,,,,,,,,,
414063,,,,,,,,,,,,,,,,,,
460701,,,,,,,,,,,,,,,,,,
378886,,,,,,,,,,,,,,,,,,
404994,,,,,,,,,,,,,,,,,,
156222,,,,,,,,,,,,,,,,,,
156213,65,63,68,62,69,64,63,67,64,76,71,63,65,71,64,66,69,70
458113,0,100,0,25,83,33,,,0,,0,33,,,,,,
447777,,,,,,,,,,,,,,,,,,
234119,,,,,,,,,,,,,,,,,,
197887,,,,,,,,,,,,,,,,,,
154022,9,8,7,7,7,8,14,17,21,22,21,36,29,44,34,34,49,37
156231,,,,,,,,,,,,,,,,,,
201098,,,,,,,,,,,,,,,,,,
201104,68,62,65,61,60,62,57,56,56,60,61,59,60,61,58,59,56,56
201131,,,,,,,,,,,,,,,,,,
475431,,,,,,,,,,,,,,,,,,
393861,,,,,,,,,,,,,,,,,,
391546,,,,,,,,,,,,,,,,,,
128577,,,,,,,,,,,,,,,,,,
480994,,,,,,,,,,,,,,,,,,
454829,,,0,20,0,,,,,,,,,,,,,
214023,,,,,,,,,,,,,,,,,,
164535,,,,,,,,,,,,,,,,,,
485494,,,,,,,,,,,,,,,,,,
188942,,,,,,,,,,,,,,,,,,
109721,,,,,,,,,,,,,,,,,,
109730,,,,,,,,,,,,,,,,,,
183600,,,,,,,,,,,,,,,,,,
164562,72,73,70,75,71,74,73,70,73,75,67,72,66,75,69,70,70,78
446127,,,,,,,,,,,,,,,,,,
447935,,,,,,,,,,,,,,,,,,
444361,,,,,,,,,,,,,,,,,,
449728,,,,,,,,,,,,,,,,,,
452373,,,,,,,,,,,,,,,,,,
461768,,,,,,,,,,,,,,,,,,
476683,,,,,,,,,,,,,,,,,,
201140,,,,,,,,,,,,,,,,,,
100812,,,,,,,,,,,,,,,,,,
246813,,,,,,,,,,,,,,,,,,
444325,,,,,,,,,,,,,,,,,,
419244,,,,,,,,,,,,,,,,,,
138901,20,0,25,0,,,,,,,,,,,,,,
138938,,,,,,,,,,,,,,,,,,
138840,,,,,,,,,,,,,,,,,,
138929,,,,,,,,,,,,,,,,,,
183655,,,,,,,,,,,,,,,,,,
439446,,,,,,,,,,,,,,,,,,
132374,,,,,,,,,,,,,,,,,,
485768,78,47,,85,,,,,,,,,,,,,,
201159,,,,,,,,,,,,,,,,,,
100858,81,79,79,78,77,75,73,71,68,68,66,66,67,64,63,63,62,65
100830,36,30,34,34,28,23,22,25,27,30,33,25,28,24,27,29,30,29
173045,58,59,57,64,62,57,56,63,64,60,65,60,59,56,60,52,55,54
447917,,,,,,,,,,,,,,,,,,
138956,,,,,,,,,,,,,,,,,,
482149,50,47,40,31,27,26,30,32,29,,,,,,,,,
143084,79,77,71,74,75,77,76,74,78,78,76,77,78,75,76,78,76,75
219000,71,72,71,70,71,71,75,67,66,66,65,67,67,68,65,62,64,65
444556,,,,,,,,,,,,,,,,,,
454810,,,,,,,,,,,,,,,,,,
201177,,,,,,,,,,,,,,,,,,
143118,55,58,54,54,53,58,56,58,58,52,44,54,49,47,45,50,53,52
495129,,,,,,,,,,,,,,,,,,
222983,68,71,72,70,67,73,73,76,72,77,75,79,74,78,78,75,76,74
222992,,,,,,,,,,,,,,,,,,
