UnitID,Control,State
489937,2,NC
433174,1,NC
485467,3,CA
442602,3,NM
142054,3,ID
450702,3,CA
457101,3,NV
103909,3,AZ
475750,3,TX
467368,3,CA
103893,3,AZ
438258,3,CA
246035,3,OR
457110,3,NV
125532,3,CA
437936,3,CA
246974,3,CA
439118,3,WA
450696,3,CA
103927,3,AZ
180106,2,MT
405872,1,MD
238458,2,WI
219806,2,TN
447430,3,NY
198206,1,NC
238476,2,WI
481049,1,MO
430795,1,WV
111638,2,CA
203438,3,OH
455211,3,NV
439190,1,WA
201645,2,OH
240505,1,WY
417682,1,MO
230834,1,VT
198215,2,NC
198233,1,NC
165255,3,MA
475398,2,WV
143659,2,IL
417983,1,NY
430306,2,VA
189839,1,NY
430883,1,NY
189848,2,NY
439367,2,CA
456977,3,FL
449092,3,FL
449083,3,FL
449773,3,TX
447874,3,FL
451495,3,PA
162104,1,MD
211468,2,PA
417053,2,CA
201654,2,OH
487621,3,LA
454917,3,FL
160126,3,LA
158477,2,LA
183974,2,NJ
379782,3,TX
451413,3,NY
364964,1,NY
455910,3,NC
488226,3,FL
481447,3,NJ
486381,3,NY
457651,3,MN
232618,2,VA
100760,1,AL
104346,1,AZ
106713,2,AR
419183,3,CA
436003,3,NJ
198251,1,NC
218858,1,SC
154855,2,KS
176910,2,MO
378105,3,CA
153108,2,IA
417725,3,MO
180902,1,NE
128771,1,CT
483045,1,GA
173203,1,MN
158088,1,LA
161077,1,ME
445267,2,MO
176947,2,MO
169248,1,MI
187532,1,NM
201672,1,OH
206932,3,OK
208318,1,OR
211477,3,PA
493558,3,PA
369668,1,PA
198260,1,NC
201681,2,OH
231688,1,VA
201690,1,OH
406422,1,PA
246017,1,OK
246460,3,TX
383464,3,TX
223816,1,TX
231697,1,VA
234827,1,WA
240514,1,WY
488004,2,NY
189857,2,NY
491260,3,WA
234845,1,WA
156408,2,KY
420024,3,VA
377449,3,VA
377458,3,VA
427982,3,VA
232016,3,VA
175315,1,MN
111887,1,CA
111896,1,CA
444510,2,CA
427894,2,VA
381255,2,CA
111744,2,CA
111726,2,CA
432269,2,TX
381282,2,CA
111799,2,CA
111708,2,CA
111717,2,CA
381325,2,CA
468769,2,CA
111762,2,CA
111920,1,CA
180948,1,NE
111939,1,CA
454218,3,IL
454245,3,AZ
489353,3,CA
457129,3,FL
475732,3,GA
454227,3,IL
475741,3,IN
492759,3,LA
486947,3,MI
466921,3,MO
486938,3,NV
486956,3,NJ
489344,3,NC
454236,3,OH
466930,3,TX
460871,3,VA
141486,2,HI
483753,3,PA
449782,3,TX
492069,2,AR
230852,2,VT
364025,1,AZ
111948,2,CA
123493,1,CA
223852,3,TX
419095,1,MA
104391,3,AZ
111966,2,CA
418171,3,NY
217794,3,SC
237303,3,WV
451510,3,SC
217688,2,SC
444778,2,NC
132976,1,FL
102845,3,WA
128780,1,CT
217828,3,SC
201751,2,OH
211556,2,PA
140331,1,GA
101028,1,AL
220118,3,TN
219824,1,TN
240709,3,WY
381699,3,CO
208390,1,OR
162168,1,MD
437769,3,VA
418427,1,PA
211583,2,PA
211608,1,PA
181145,2,NE
492078,3,IL
492607,2,TX
437732,2,TX
144005,1,IL
144014,2,IL
180160,1,MT
133021,1,FL
240116,1,WI
375656,1,OK
201803,1,OH
198303,2,NC
175494,3,MS
